sid,pid,y
s1,p1,0
s1,p2,0
s1,p3,0
s1,p4,1
s1,p5,0
s1,p6,1
s1,p7,1
s1,p8,1
s1,p9,1
s1,p10,0
s1,p11,1
s1,p12,1
s1,p13,0
s1,p14,1
s1,p15,0
s1,p16,1
s1,p17,1
s1,p18,1
s1,p19,1
s1,p20,1
s1,p21,1
s1,p22,1
s1,p23,1
s1,p24,0
s1,p25,0
s1,p26,0
s1,p27,1
s1,p28,0
s1,p29,1
s1,p30,1
s1,p31,0
s1,p32,1
s1,p33,1
s1,p34,0
s1,p35,1
s1,p36,0
s1,p37,1
s1,p38,0
s1,p39,0
s1,p40,0
s1,p41,0
s1,p42,0
s1,p43,1
s1,p44,0
s1,p45,1
s1,p46,0
s1,p47,0
s1,p48,0
s1,p49,1
s1,p50,1
s1,p51,0
s1,p52,1
s1,p53,0
s1,p54,1
s1,p55,1
s1,p56,1
s1,p57,1
s1,p58,0
s1,p59,0
s1,p60,1
s1,p61,1
s1,p62,1
s1,p63,0
s1,p64,0
s1,p65,0
s1,p66,1
s1,p67,1
s1,p68,0
s1,p69,0
s1,p70,1
s1,p71,0
s1,p72,0
s1,p73,1
s1,p74,1
s1,p75,1
s1,p76,1
s1,p77,1
s1,p78,1
s1,p79,0
s1,p80,0
s1,p81,1
s1,p82,1
s1,p83,1
s1,p84,1
s1,p85,0
s1,p86,1
s1,p87,0
s1,p88,0
s1,p89,0
s1,p90,1
s1,p91,1
s1,p92,0
s1,p93,0
s1,p94,1
s1,p95,1
s1,p96,1
s1,p97,1
s1,p98,1
s1,p99,0
s1,p100,0
s1,p101,0
s1,p102,1
s1,p103,1
s1,p104,1
s1,p105,0
s1,p106,0
s1,p107,0
s1,p108,1
s1,p109,1
s1,p110,0
s1,p111,0
s1,p112,0
s1,p113,1
s1,p114,0
s1,p115,1
s1,p116,0
s1,p117,0
s1,p118,0
s1,p119,1
s1,p120,0
s1,p121,1
s1,p122,1
s1,p123,0
s1,p124,1
s1,p125,1
s1,p126,0
s1,p127,0
s1,p128,0
s1,p129,1
s1,p130,0
s1,p131,1
s1,p132,0
s1,p133,1
s1,p134,0
s1,p135,0
s1,p136,0
s1,p137,0
s1,p138,0
s1,p139,1
s1,p140,0
s1,p141,1
s1,p142,1
s1,p143,1
s1,p144,1
s1,p145,0
s1,p146,1
s1,p147,0
s1,p148,1
s1,p149,1
s1,p150,0
s1,p151,0
s1,p152,0
s1,p153,1
s1,p154,1
s1,p155,1
s1,p156,1
s1,p157,1
s1,p158,1
s1,p159,1
s1,p160,1
s1,p161,0
s1,p162,1
s1,p163,1
s1,p164,1
s1,p165,1
s1,p166,1
s1,p167,0
s1,p168,1
s1,p169,1
s1,p170,0
s1,p171,0
s1,p172,1
s1,p173,1
s1,p174,0
s1,p175,1
s1,p176,1
s1,p177,1
s1,p178,1
s1,p179,1
s1,p180,0
s1,p181,1
s1,p182,1
s1,p183,1
s1,p184,1
s1,p185,1
