sid,st_text,gpa_bucket,hrs,avail_weeks,reliability,lack_commit,poor_comms,weak_writing,weak_numeracy
s1,"statistics major; courses: Linear Algebra, Measure Theory; skills: keras, signal processing, gnn, go, llm prompting, c++. Also built a small drone with ROS and PX4.",3.5-4.0,15,9,0.715,0,0,0,1
s2,"applied physics major; courses: Probability, Numerical Methods; skills: pytorch, cv, data analysis, keras, tensorflow, fastapi. Also developed a FastAPI microservice.",3.5-4.0,20,25,0.651,0,0,0,0
s3,"cs major; courses: Computer Networks, Algorithms; skills: gnn, keras, signal processing, python, cad, quant, r. Also built a small drone with ROS and PX4.",2.5-3.0,21,26,0.684,0,1,0,0
s4,"applied physics major; courses: Probability, Numerical Methods; skills: matlab, data analysis, python, nlp, sql. Also developed a FastAPI microservice.",3.5-4.0,14,21,0.758,0,0,0,0
s5,"aerospace major; courses: Materials, Dynamics; skills: data analysis, cv, signal processing, statistics, sql, control theory, ocr. Also published a workshop paper on anomaly detection.",3.5-4.0,15,27,0.763,0,1,0,0
s6,"materials major; courses: CAD/CAM, Finite Element Analysis; skills: statistics, pytorch, retrieval, docker. Also designed a PCB for an IMU logger.",3.0-3.5,6,19,0.637,0,0,0,0
s7,"statistics major; courses: Linear Algebra, Numerical Methods; skills: data analysis, statistics, gnn, matlab, etl, llm prompting. Also ran CFD for a propeller design.",2.5-3.0,13,18,0.506,0,1,0,1
s8,"computational finance major; courses: Derivatives, Risk Management; skills: statistics, matlab, data analysis, openvino. Also won a hackathon for AR navigation.",3.5-4.0,12,12,0.587,0,0,0,0
s9,"materials major; courses: CAD/CAM, Materials; skills: python, pytorch, nlp, hadoop. Also ran CFD for a propeller design.",3.0-3.5,14,14,1.0,0,0,0,0
s10,"aerospace major; courses: Dynamics, Finite Element Analysis; skills: signal processing, cv, keras, data analysis, ansys, tensorflow, r. Also developed a FastAPI microservice.",3.5-4.0,7,16,0.916,1,0,0,0
s11,"biomedical major; courses: Biostatistics, Genetics; skills: data analysis, python, gnn, statistics, react native, c++. Also published a workshop paper on anomaly detection.",3.0-3.5,10,9,0.692,0,0,0,0
s12,"cheme major; courses: Thermodynamics, Materials; skills: signal processing, keras, timeseries. Also won a hackathon for AR navigation.",3.0-3.5,21,16,0.841,0,0,0,0
s13,"design major; courses: Finite Element Analysis, Materials; skills: cv, signal processing, go, react, vhdl. Also won a hackathon for AR navigation.",2.5-3.0,22,24,0.913,0,0,1,1
s14,"aerospace major; courses: CAD/CAM, Thermodynamics; skills: statistics, pytorch, matlab, keras, fastapi, ansys. Also implemented a Kalman filter for tracking.",3.0-3.5,6,20,0.434,0,0,0,0
s15,"physics major; courses: Dynamics, Thermodynamics; skills: signal processing, keras, cv, gnn, verilog, spark, causal inference. Also published a workshop paper on anomaly detection.",3.5-4.0,13,20,0.803,0,0,0,0
s16,"biomedical major; courses: Biostatistics, Neuroscience; skills: keras, nlp, python, gnn, sql, go, ansys. Also built a small drone with ROS and PX4.",3.0-3.5,14,23,0.626,0,0,0,0
s17,"electrical engineering major; courses: Control, Circuits; skills: matlab, python, kalman filter. Also implemented a Kalman filter for tracking.",3.5-4.0,21,12,1.0,0,0,0,0
s18,"industrial engineering major; courses: Materials, Finite Element Analysis; skills: cv, data analysis, pytorch, matlab, ansys. Also implemented a Kalman filter for tracking.",3.5-4.0,11,24,0.867,0,1,0,0
s19,"civil major; courses: Materials, Finite Element Analysis; skills: nlp, matlab, statistics, proteomics, flask. Also ran CFD for a propeller design.",3.5-4.0,21,14,0.466,0,0,0,0
s20,"civil major; courses: Dynamics, CAD/CAM; skills: signal processing, python, openvino, c++, kalman filter. Also published a workshop paper on anomaly detection.",2.5-3.0,9,23,0.858,0,0,0,0
s21,"design major; courses: CAD/CAM, Finite Element Analysis; skills: pytorch, signal processing, mediapipe, forecasting. Also trained a small LLM finetune.",3.0-3.5,13,23,0.435,0,0,0,0
s22,"statistics major; courses: Linear Algebra, Probability; skills: matlab, cv, keras, react native. Also built a small drone with ROS and PX4.",2.5-3.0,14,12,0.027,0,0,0,0
s23,"cs major; courses: Databases, Compilers; skills: gnn, statistics, timeseries. Also trained a small LLM finetune.",2.5-3.0,17,15,0.803,0,0,0,0
s24,"data science major; courses: Computer Networks, Algorithms; skills: data analysis, pytorch, nlp, react native, reinforcement learning, control theory. Also ran CFD for a propeller design.",2.5-3.0,18,28,0.684,0,0,0,0
s25,"industrial engineering major; courses: Materials, Thermodynamics; skills: gnn, signal processing, statistics, matlab, kalman filter, kubernetes, verilog. Also developed a FastAPI microservice.",3.0-3.5,10,15,0.703,1,0,0,0
s26,"math major; courses: Optimization, Probability; skills: data analysis, keras, statistics, retrieval. Also won a hackathon for AR navigation.",3.5-4.0,10,15,0.776,0,0,1,0
s27,"software engineering major; courses: Operating Systems, Compilers; skills: matlab, pytorch, data analysis, kalman filter, graph mining. Also built a small drone with ROS and PX4.",2.5-3.0,18,28,0.486,0,0,1,0
s28,"data science major; courses: Compilers, Databases; skills: data analysis, keras, hadoop, bayesian inference. Also published a workshop paper on anomaly detection.",3.5-4.0,22,14,0.228,0,0,0,0
s29,"materials major; courses: Materials, CAD/CAM; skills: python, data analysis, docker, finite element analysis, quant. Also won a hackathon for AR navigation.",3.5-4.0,10,14,0.732,0,0,0,0
s30,"data science major; courses: Algorithms, Compilers; skills: gnn, data analysis, llm prompting, timeseries. Also published a workshop paper on anomaly detection.",2.5-3.0,10,22,0.746,0,0,0,0
s31,"data science major; courses: Compilers, Databases; skills: matlab, cv, data analysis, xgboost, solidworks, verilog. Also built a small drone with ROS and PX4.",3.0-3.5,6,28,0.868,0,0,0,1
s32,"electrical engineering major; courses: Electromagnetics, Circuits; skills: matlab, cv, speech processing, lightgbm. Also implemented a Kalman filter for tracking.",3.5-4.0,11,11,0.572,1,0,0,0
s33,"computer science major; courses: Databases, Compilers; skills: pytorch, matlab, statistics, edge ai, scikit-learn, recsys. Also ran CFD for a propeller design.",3.0-3.5,9,13,0.871,0,0,0,0
s34,"statistics major; courses: Optimization, Numerical Methods; skills: signal processing, keras, matlab, opencv. Also designed a PCB for an IMU logger.",3.5-4.0,8,18,0.757,0,0,0,0
s35,"materials major; courses: Thermodynamics, Finite Element Analysis; skills: python, keras, quant, docker, rust. Also interned on PLC automation.",3.0-3.5,15,18,0.782,0,0,0,0
s36,"computational finance major; courses: Derivatives, Stochastic Calculus; skills: data analysis, gnn, pytorch, finite element analysis, 3d printing. Also built a small drone with ROS and PX4.",3.5-4.0,18,26,0.54,0,0,0,0
